code_insee,nom_commune,code_departement,nom_departement,region,population,latitude,longitude,prix_m2_median,prix_m2_median_maison,prix_m2_median_appartement,prix_m2_q1,prix_m2_q3,prix_median_maison,prix_median_appartement,surface_mediane_m2,nb_ventes,nb_maisons,nb_appartements,periode_debut,periode_fin,evolution_prix_pct,part_passoires_dpe_pct,prix_m2_median_departement,fiabilite,url
33240,Lesparre-Médoc,33,Gironde,Nouvelle-Aquitaine,5872,45.2796,-0.9235,1900,1860,1980,1510,2370,160000,93000,76,174,129,45,2023-01-09,2025-12-18,8.6,6.2,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/lesparre-medoc/
33315,Les Peintures,33,Gironde,Nouvelle-Aquitaine,1620,45.0639,-0.0922,1750,1750,,1510,2100,162500,,88,28,28,0,2023-03-16,2025-10-16,,,3570,indicative,
33241,Lestiac-sur-Garonne,33,Gironde,Nouvelle-Aquitaine,585,44.6929,-0.3816,2150,2150,,1830,2620,160000,,80,21,21,0,2023-01-12,2025-11-06,,,3570,indicative,
33519,Le Taillan-Médoc,33,Gironde,Nouvelle-Aquitaine,11073,44.9123,-0.6785,3540,3530,3580,3100,4000,353500,196000,94,303,248,55,2023-01-05,2025-12-20,-7.0,1.5,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-taillan-medoc/
33527,Le Teich,33,Gironde,Nouvelle-Aquitaine,9180,44.5805,-1.0234,4160,4390,3900,3550,4750,412000,186000,80,299,193,106,2023-01-05,2025-12-31,-13.1,2.3,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-teich/
33534,Le Tourne,33,Gironde,Nouvelle-Aquitaine,833,44.7182,-0.3974,2160,2160,,1710,2710,199500,,88,22,20,2,2023-02-09,2025-12-17,,,3570,indicative,
33544,Le Verdon-sur-Mer,33,Gironde,Nouvelle-Aquitaine,1408,45.5481,-1.0826,2450,2670,2370,2000,3020,211000,107500,61,147,60,87,2023-01-10,2025-12-30,0.4,9.0,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-verdon-sur-mer/
33243,Libourne,33,Gironde,Nouvelle-Aquitaine,25036,44.9125,-0.2328,2450,2600,2350,1970,2940,230000,113000,73,1005,597,408,2023-01-02,2025-12-30,-9.2,5.9,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/libourne/
33248,Listrac-Médoc,33,Gironde,Nouvelle-Aquitaine,2807,45.0699,-0.827,2380,2400,,1900,2800,256500,,97,64,61,3,2023-01-04,2025-11-27,-11.6,4.5,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/listrac-medoc/
33249,Lormont,33,Gironde,Nouvelle-Aquitaine,25769,44.8749,-0.5176,2670,3140,2500,2190,3130,252500,130000,65,594,201,393,2023-01-04,2025-12-30,-10.1,7.0,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/lormont/
